City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Kabul,177.2,178.6,204.5,232.5,310.3,353.4,356.8,339.7,303.9,282.6,253.2,182.4
Baku,89.9,89,124,195,257.3,294,313.1,282.1,222,145.7,93,102.3
Beirut,133,148,194,246,312,352,361,333,288,246,202,149
Dhaka,279,226,217,180,155,90,62,62,90,186,240,279
Beijing,194.1,194.7,231.8,251.9,283.4,261.4,212.4,220.9,232.1,222.1,185.3,180.7
Chongqing,48,56,81,111,139,128,221,222,123,63,47,54
Fuzhou,101.6,79.2,89.1,111,114.4,141.9,225.6,199.2,153.7,144.2,120.3,126.9
Guangzhou,118.5,71.6,62.4,65.1,104,140.2,202,173.5,170.2,181.8,172.7,166
Hong Kong,143,94.2,90.8,101.7,140.4,146.1,212,188.9,172.3,193.9,180.1,172.2
Lhasa,250.9,226.7,246.1,248.9,276.6,257.3,227.4,219.6,229,281.7,267.4,258.6
Macau,127.4,79.4,71.5,85.3,136.4,155.3,223.2,195.4,176.5,192.3,172.2,159.1
Nanjing,124.7,120.3,144.7,169.2,194.2,162.8,196.7,201.6,164,164.2,147.4,137.1
Ningbo,123.7,108.4,121.7,142.4,156.7,147.8,243.8,238,171.5,166.5,143.4,146.1
Qingdao,186,180.8,220.1,222,244.9,219,182.9,223.2,219,220.1,189,182.9
Shanghai,114.3,119.9,128.5,148.5,169.8,130.9,190.8,185.7,167.5,161.4,131.1,127.4
Tianjin,170.1,170.2,202.4,223.8,249,226.9,206.4,204.4,205.3,196.1,163,157.6
Ürümqi,101.6,128.8,180.5,248,283.3,282.7,298.7,301,262.6,224.4,127.4,84.3
Wuhan,101.9,97,121.8,152.8,181,170.9,220.2,226.4,175.8,151.9,139.3,126.5
Xiamen,133.3,88.3,89.6,105.6,132.6,163.8,234.6,211.6,178.9,188.4,163,163.5
Delhi,214.6,216.1,239.1,261,263.1,196.5,165.9,177,219,269.3,247.2,215.8
Kolkata,203.9,201.2,225.8,235.4,227.1,123.1,93.1,104.9,116.2,182.6,190.8,203.4
Mumbai,269.5,257.6,274.3,283.7,296.2,148.6,73.4,75.9,165.1,240.2,245.8,253.2
Bangalore,262,248,271,257,241,137,112,114,144,173,190,212
Chennai,232.5,240.1,291.4,294,300.7,234,142.6,189.1,195,257.3,261,210.8
Denpasar,173.1,174,210.7,224.7,242.9,228.1,246.8,261.7,251.3,252.5,224.4,176.4
Jakarta,189.1,180.8,238.7,255,260.4,255,282.1,294.5,300.7,279,231,217
Makassar,155,168,186,240,248,241,270,298,300,305,280,158
Medan,129.6,141,153.1,131.2,134.8,157.9,153.9,143.9,123.1,116.3,104.8,98.1
Bandar Abbas,220.1,211.9,232.5,242.4,312.7,302.2,264.6,270.1,270.1,283.4,251.2,228.8
Isfahan,205.3,213.3,242.1,244.5,301.3,345.4,347.6,331.2,311.6,276.5,226.1,207.6
Mashhad,148.3,147.5,163.3,200.4,280.4,343.2,366.9,359.7,305.2,249.5,188.3,151.6
Tehran,137.2,151.1,186,219.1,279.8,328.7,336.6,336.8,300.5,246.8,169.4,134.1
Baghdad,192.2,203.3,244.9,255,300.7,348,347.2,353.4,315,272.8,213,195.3
Tel Aviv,192.2,200.1,235.6,270,328.6,357,368.9,356.5,300,279,234,189.1
Sapporo,92.5,104,146.6,176.5,198.4,187.8,164.9,171,160.5,152.3,100,85.9
Sendai,148.1,151.8,177,188.5,185.2,133.8,119.5,144.4,121.2,148.6,139.6,138.6
Tokyo,184.5,165.8,163.1,176.9,167.8,125.4,146.4,169,120.9,131,147.9,178
Kanazawa,63.5,84.1,141.3,185.5,202.3,152.6,158.9,221.5,144.1,150.4,104.1,72.5
Nagoya,170.1,170,189.1,196.6,197.5,149.9,146.3,200.4,151,169,162.7,172.2
Almaty,118,119,147,194,241,280,306,294,245,184,127,101
Astana,103,147,192,238,301,336,336,294,230,136,100,94
